CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=43  |  results -> results/robust_classification/run_20260626_074913_seed43
============================================================

Training robust_classification for 300 epochs
  Batch  21 | t=[0,0] | loss=0.7909 | acc=8/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  22 | t=[0,0] | loss=0.7601 | acc=12/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
  Batch  23 | t=[0,0] | loss=1.0531 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  24 | t=[0,0] | loss=1.0011 | acc=8/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  25 | t=[0,0] | loss=0.8503 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  26 | t=[0,0] | loss=0.6603 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  27 | t=[0,0] | loss=1.4945 | acc=6/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  28 | t=[0,0] | loss=0.7599 | acc=9/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  29 | t=[0,0] | loss=0.5548 | acc=13/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  30 | t=[0,0] | loss=0.7905 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
