CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader mirabest_fits_png
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 1221
Total batches: 54 (at batch size 16)

============================================================
Run 1/1  |  seed=44  |  results -> results/robust_classification/run_20260515_182132_seed44
============================================================

Training robust_classification for 200 epochs
  Batch  30 | t=[0,0] | loss=0.6465 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [13] pred=1 true=0 t=0
  Batch  31 | t=[0,0] | loss=0.7655 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0
  Batch  32 | t=[0,0] | loss=0.6812 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  33 | t=[0,0] | loss=0.7673 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  34 | t=[0,0] | loss=0.7684 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=1 true=0 t=0
  Batch  35 | t=[0,0] | loss=0.4833 | acc=13/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  36 | t=[0,0] | loss=0.6978 | acc=10/16 | MISCLASSIFIED: [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  37 | t=[0,0] | loss=0.6001 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  38 | t=[0,0] | loss=0.6700 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  39 | t=[0,0] | loss=0.6301 | acc=10/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  40 | t=[0,0] | loss=0.6912 | acc=9/16 | MISCLASSIFIED: [3] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  41 | t=[0,0] | loss=0.8384 | acc=5/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  42 | t=[0,0] | loss=0.5782 | acc=12/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  43 | t=[0,0] | loss=0.7307 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=1 true=0 t=0
  Batch  44 | t=[0,0] | loss=0.6828 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  45 | t=[0,0] | loss=0.6779 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  46 | t=[0,0] | loss=0.6904 | acc=9/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=0 true=1 t=0
  Batch  47 | t=[0,0] | loss=0.6907 | acc=10/16 | MISCLASSIFIED: [7] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  48 | t=[0,0] | loss=0.7038 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  49 | t=[0,0] | loss=0.6574 | acc=9/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [11] pred=0 true=1 t=0
  Batch  50 | t=[0,0] | loss=0.7046 | acc=10/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  51 | t=[0,0] | loss=0.8593 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  52 | t=[0,0] | loss=0.5268 | acc=12/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [8] pred=1 true=0 t=0
  Batch  53 | t=[0,0] | loss=0.5707 | acc=5/7 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [6] pred=0 true=1 t=0
Epoch 0 [warmup] | Loss: 0.6748 | Val Loss: 1.8861 | Val Acc: 52.9% | LR: 1.00e-04
--- Saved model to checkpoints/robust_classification/state.pt ---
--- Saved model to checkpoints/robust_classification_best/state.pt ---
  ** New best val acc: 52.9% — saved to checkpoints/robust_classification_best
  Batch   0 | t=[0,4] | loss=0.5414 | acc=13/16 | MISCLASSIFIED: [3] pred=0 true=1 t=3, [10] pred=1 true=0 t=1, [15] pred=1 true=0 t=1
  Batch   1 | t=[0,4] | loss=0.5555 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=1, [5] pred=0 true=1 t=1, [7] pred=1 true=0 t=4, [11] pred=1 true=0 t=4, [12] pred=0 true=1 t=0
  Batch   2 | t=[0,4] | loss=0.7227 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=1 true=0 t=2, [4] pred=1 true=0 t=2, [6] pred=1 true=0 t=0, [9] pred=1 true=0 t=3, [12] pred=1 true=0 t=1, [14] pred=1 true=0 t=1, [15] pred=1 true=0 t=1
  Batch   3 | t=[0,4] | loss=0.5150 | acc=12/16 | MISCLASSIFIED: [3] pred=1 true=0 t=4, [7] pred=1 true=0 t=1, [8] pred=0 true=1 t=1, [11] pred=1 true=0 t=4
  Batch   4 | t=[0,4] | loss=0.7872 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=3, [3] pred=1 true=0 t=4, [5] pred=1 true=0 t=1, [7] pred=1 true=0 t=3, [10] pred=1 true=0 t=2, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=1
  Batch   5 | t=[0,4] | loss=0.5490 | acc=12/16 | MISCLASSIFIED: [2] pred=1 true=0 t=1, [4] pred=1 true=0 t=2, [9] pred=1 true=0 t=1, [13] pred=1 true=0 t=1
  Batch   6 | t=[0,4] | loss=0.6948 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=1, [3] pred=0 true=1 t=3, [5] pred=0 true=1 t=1, [9] pred=1 true=0 t=1, [13] pred=1 true=0 t=3, [14] pred=0 true=1 t=3
  Batch   7 | t=[0,4] | loss=0.5969 | acc=12/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=1 true=0 t=4
  Batch   8 | t=[0,4] | loss=0.5810 | acc=9/16 | MISCLASSIFIED: [2] pred=1 true=0 t=2, [3] pred=1 true=0 t=2, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=2, [9] pred=1 true=0 t=1, [12] pred=0 true=1 t=1, [13] pred=1 true=0 t=3
  Batch   9 | t=[0,4] | loss=0.6854 | acc=10/16 | MISCLASSIFIED: [5] pred=1 true=0 t=1, [6] pred=1 true=0 t=4, [8] pred=0 true=1 t=1, [11] pred=0 true=1 t=1, [13] pred=0 true=1 t=1, [15] pred=1 true=0 t=3
  Batch  10 | t=[0,4] | loss=0.9801 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=4, [6] pred=0 true=1 t=2, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=4, [11] pred=0 true=1 t=1, [12] pred=1 true=0 t=3, [14] pred=1 true=0 t=4
  Batch  11 | t=[0,4] | loss=0.6095 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=2, [2] pred=0 true=1 t=2, [11] pred=0 true=1 t=4, [12] pred=0 true=1 t=3, [15] pred=0 true=1 t=2
